Date,Time,Duration,Region,Disruption_Type,Impact_Level,Infrastructure
2016-03-01,04:51,46,North America,Accuracy Drop,High,GPS
2019-12-22,06:51,28,Oceania,Accuracy Drop,Medium,GPS
2016-07-13,18:27,42,Asia,Signal Loss,High,GPS
2022-07-27,01:36,10,North America,Accuracy Drop,Low,GPS
2021-03-18,02:49,20,Asia,Accuracy Drop,Medium,GPS
2024-03-13,04:36,3,Oceania,Timing Error,Low,GPS
2015-02-04,15:23,20,Europe,Signal Loss,Medium,GPS
2016-12-26,20:34,54,North America,Timing Error,High,GPS
2015-04-05,03:22,2,North America,Timing Error,Low,GPS
2020-08-17,21:02,35,Europe,Signal Loss,High,GPS
2019-04-14,16:09,23,Asia,Accuracy Drop,Medium,GPS
2022-12-25,06:47,53,Asia,Timing Error,High,GPS
2024-07-17,12:26,52,Europe,Timing Error,High,GPS
2024-03-13,17:52,14,Europe,Timing Error,Medium,GPS
2019-12-07,23:33,5,North America,Timing Error,Low,GPS
2023-06-08,00:48,43,Europe,Signal Loss,High,GPS
2023-10-18,01:55,3,Oceania,Accuracy Drop,Low,GPS
2023-03-12,07:46,24,Oceania,Accuracy Drop,Medium,GPS
2019-11-07,10:47,48,North America,Accuracy Drop,High,GPS
2024-06-07,08:56,11,Oceania,Accuracy Drop,Medium,GPS
2023-12-25,05:05,28,North America,Accuracy Drop,Medium,GPS
2018-12-13,01:15,56,North America,Timing Error,High,GPS
2022-01-26,20:36,24,Asia,Signal Loss,Medium,GPS
2018-07-13,23:43,4,Europe,Timing Error,Low,GPS
2021-03-26,15:41,43,North America,Accuracy Drop,High,GPS
2017-04-06,13:47,18,North America,Accuracy Drop,Medium,GPS
2021-04-03,20:48,52,North America,Signal Loss,High,GPS
2020-01-24,19:33,48,Asia,Signal Loss,High,GPS
2019-07-28,03:20,14,Asia,Accuracy Drop,Medium,GPS
2019-07-18,11:08,5,North America,Accuracy Drop,Low,GPS
2019-08-11,10:29,45,Oceania,Signal Loss,High,GPS
2018-09-20,12:21,36,Asia,Timing Error,High,GPS
2016-06-05,18:19,17,Asia,Accuracy Drop,Medium,GPS
2021-01-30,00:42,47,North America,Timing Error,High,GPS
2023-10-25,08:31,37,Oceania,Signal Loss,High,GPS
2016-12-09,01:12,49,Oceania,Signal Loss,High,GPS
2015-09-09,17:05,53,Europe,Signal Loss,High,GPS
2020-06-06,11:00,12,Asia,Timing Error,Medium,GPS
2023-03-08,10:19,50,Asia,Accuracy Drop,High,GPS
2022-01-18,08:53,12,Oceania,Signal Loss,Medium,GPS
2016-10-17,03:24,22,Oceania,Timing Error,Medium,GPS
2017-04-18,10:56,38,Oceania,Signal Loss,High,GPS
2019-09-24,02:06,39,Asia,Accuracy Drop,High,GPS
2017-12-28,03:49,20,North America,Timing Error,Medium,GPS
2022-12-13,06:37,31,Asia,Timing Error,High,GPS
2015-04-07,11:36,42,Oceania,Accuracy Drop,High,GPS
2015-01-28,17:29,43,North America,Timing Error,High,GPS
2020-10-03,02:45,41,North America,Timing Error,High,GPS
2021-05-13,06:22,39,Asia,Signal Loss,High,GPS
2023-09-19,18:43,55,Asia,Signal Loss,High,GPS
2015-03-06,17:15,43,North America,Signal Loss,High,GPS
2015-12-16,03:08,21,North America,Signal Loss,Medium,GPS
2023-11-16,01:36,58,Asia,Accuracy Drop,High,GPS
2024-06-19,15:40,58,Oceania,Accuracy Drop,High,GPS
2020-04-05,18:01,58,Asia,Signal Loss,High,GPS
2017-08-12,17:40,26,North America,Signal Loss,Medium,GPS
2023-01-23,15:23,36,Oceania,Signal Loss,High,GPS
2015-08-04,06:18,8,Asia,Signal Loss,Low,GPS
2016-05-22,07:28,35,Asia,Signal Loss,High,GPS
2016-03-29,17:25,59,Europe,Accuracy Drop,High,GPS
2015-04-13,22:14,40,North America,Timing Error,High,GPS
2024-12-16,19:13,31,Asia,Timing Error,High,GPS
2022-05-27,19:07,56,Europe,Accuracy Drop,High,GPS
2019-10-25,19:57,10,Oceania,Timing Error,Low,GPS
2015-02-27,06:17,34,Oceania,Signal Loss,High,GPS
2017-01-23,14:01,52,North America,Signal Loss,High,GPS
2018-04-04,09:54,5,North America,Timing Error,Low,GPS
2024-03-17,22:04,9,Oceania,Accuracy Drop,Low,GPS
2018-04-18,06:42,37,Asia,Signal Loss,High,GPS
2015-06-13,17:26,23,Oceania,Timing Error,Medium,GPS
2015-08-04,02:40,54,Europe,Accuracy Drop,High,GPS
2024-02-29,23:47,53,Europe,Signal Loss,High,GPS
