Hour,Month,DayOfWeek,Infrastructure,Speed,Direction,Width,Impact_Level
2,11,5,CME,402.0,NW,190.0,Low
3,1,3,CME,1641.0,S,10.0,Medium
2,2,0,CME,909.0,E,176.0,Medium
3,10,3,CME,1106.0,E,96.0,Medium
20,3,6,CME,483.0,W,57.0,Low
13,6,3,CME,388.0,NW,33.0,Low
10,3,1,CME,1773.0,SW,284.0,Medium
22,6,1,CME,2383.0,S,17.0,High
4,11,6,CME,893.0,W,328.0,Medium
21,9,5,CME,2263.0,SW,14.0,High
17,10,0,CME,1715.0,N,239.0,Medium
17,5,5,CME,2708.0,S,164.0,High
10,8,0,CME,2839.0,S,252.0,High
6,5,4,CME,342.0,SW,307.0,Low
21,9,3,CME,732.0,SE,309.0,Low
9,5,5,CME,2322.0,S,325.0,High
14,6,0,CME,1207.0,S,105.0,Medium
15,2,5,CME,1714.0,NW,152.0,Medium
9,11,4,CME,927.0,E,349.0,Medium
3,8,6,CME,2752.0,NE,130.0,High
6,8,0,CME,910.0,W,188.0,Medium
9,12,1,CME,1016.0,E,137.0,Medium
10,6,5,CME,2682.0,NW,300.0,High
16,1,1,CME,1243.0,SW,346.0,Medium
0,7,4,CME,2616.0,S,297.0,High
20,8,1,CME,1112.0,SW,170.0,Medium
17,5,4,CME,2684.0,SE,180.0,High
13,2,1,CME,2558.0,NE,117.0,High
4,8,2,CME,2556.0,NW,296.0,High
17,5,5,CME,2442.0,E,343.0,High
8,2,1,CME,1953.0,W,101.0,Medium
7,10,1,CME,1227.0,E,186.0,Medium
14,3,6,CME,418.0,N,47.0,Low
17,3,5,CME,1938.0,E,111.0,Medium
15,8,1,CME,999.0,NW,328.0,Medium
2,10,1,CME,2048.0,SE,87.0,High
8,1,6,CME,2344.0,W,195.0,High
0,4,4,CME,1763.0,N,99.0,Medium
6,10,5,CME,597.0,SW,336.0,Low
19,8,1,CME,847.0,N,202.0,Medium
10,4,1,CME,2896.0,SW,273.0,High
21,12,5,CME,1837.0,SE,20.0,Medium
14,2,5,CME,1758.0,E,30.0,Medium
6,1,6,CME,727.0,SW,150.0,Low
5,6,2,CME,1754.0,SE,319.0,Medium
20,6,6,CME,1916.0,S,302.0,Medium
13,1,0,CME,1253.0,S,350.0,Medium
17,9,2,CME,433.0,NE,304.0,Low
21,12,3,CME,624.0,NW,299.0,Low
